인텔 제온 E3-1225V6 (카비레이크),인텔,소켓1151,NA,쿼드,4,3.3,NA,8,NA,73,인텔 HD P630,NA,C236 메인보드만 호환 가능합니다.,293530
인텔 제온 스케일러블 골드 5122 (스카이레이크),인텔,소켓3647,14,쿼드,8,3.60,NA,16,NA,105,NA,NA,NA,1616930
인텔 코어i3-3세대 3240 (아이비브릿지),인텔,소켓1155,22,듀얼,4,3.4,NA,3,NA,55,인텔 HD 2500,650,하이퍼스레딩,NA
인텔 제온 스케일러블 실버 4116 (스카이레이크),인텔,소켓3647,14,12,24,2.10,NA,16,NA,85,NA,NA,NA,1324400
인텔 제온 스케일러블 실버 4110 (스카이레이크),인텔,소켓3647,14,옥타,16,2.10,NA,11,NA,85,NA,NA,NA,648110
인텔 코어2쿼드 Q8400 (요크필드),인텔,소켓775,45,쿼드,4,2.66,4,NA,NA,95,NA,NA,NA,NA
인텔 코어i5-2세대 2500K (샌디브릿지),인텔,소켓1155,32,쿼드,4,3.3,NA,6,NA,95,인텔 HD 3000,850,NA,NA
인텔 코어i3-4세대 4160 (하스웰 리프레시),인텔,소켓1150,22,듀얼,4,3.6,512,3,NA,54,인텔 HD 4400,1,하이퍼스레딩,NA
인텔 코어i5-1세대 760 (린필드),인텔,소켓1156,45,쿼드,4,2.8,NA,8,NA,95,NA,NA,NA,NA
AMD 페넘II-X4 960T Black Edition (조스마),AMD,소켓AM3,45,쿼드,4,NA,NA,NA,NA,NA,NA,NA,512KB x4 / 6MB / 64(32)비트 / 95W,NA
인텔 코어2쿼드 Q9400 (요크필드),인텔,소켓775,45,쿼드,4,2.66,NA,6,NA,95,NA,NA,NA,NA
인텔 코어i5-1세대 750 (린필드),인텔,소켓1156,45,쿼드,4,2.66,NA,8,NA,95,NA,NA,NA,NA
AMD 페넘II-X6 1055T (투반),AMD,소켓AM3,45,헥사,6,2.8,NA,6,NA,125,NA,NA,NA,NA
인텔 코어2쿼드 Q8300 (요크필드),인텔,소켓775,45,쿼드,4,2.5,4,NA,NA,95,NA,NA,NA,NA
인텔 펜티엄 G620 (샌디브릿지),인텔,소켓1155,32,듀얼,2,2.6,NA,3,NA,65,인텔 HD,850,NA,NA
인텔 제온 스케일러블 실버 4114 (스카이레이크),인텔,소켓3647,14,10,20,2.20,NA,13,NA,85,NA,NA,NA,920270
인텔 코어i7-4세대 4770K (하스웰),인텔,소켓1150,22,쿼드,8,3.5,1,8,NA,84,인텔 HD 4600,1,하이퍼스레딩,NA
인텔 코어2듀오 E7400 (울프데일),인텔,소켓775,45,듀얼,2,2.8,NA,3,NA,65,NA,NA,NA,NA
인텔 코어2쿼드 Q9300 (요크필드),인텔,소켓775,45,쿼드,4,2.5 ~ 2.99,6,NA,NA,95,NA,NA,NA,NA
인텔 제온 스케일러블 골드 5118 (스카이레이크),인텔,소켓3647,14,12,24,2.30,NA,16,NA,105,NA,NA,NA,NA
인텔 제온 스케일러블 골드 6150 (스카이레이크),인텔,소켓3647,14,18,36,2.70,NA,24,NA,165,NA,NA,NA,NA
인텔 제온 스케일러블 골드 6154 (스카이레이크),인텔,소켓3647,14,18,36,3.00,NA,24,NA,200,NA,NA,NA,NA
인텔 셀러론 G3950 (카비레이크),인텔,소켓1151,14,듀얼,2,3.0,NA,2,NA,51,인텔 HD 610,350,NA,NA
인텔 코어i7-3세대 3840QM (아이비브릿지),인텔,소켓FCPGA988,22,쿼드,8,2.80,NA,8,NA,45,인텔 HD 4000,650,하이퍼스레딩,NA
인텔 펜티엄 G4620 (카비레이크),인텔,소켓1151,14,듀얼,4,3.7,NA,3,NA,51,인텔 HD 630,350,하이퍼스레딩,NA
인텔 코어i7-1세대 950 (블룸필드),인텔,소켓1366,45,쿼드,8,3.06,NA,8,NA,130,NA,NA,NA,NA
인텔 제온 E5-2695 v4 (브로드웰-EP),인텔,소켓2011-V3,14,18,36,2.1,NA,45,NA,120,NA,NA,NA,NA
인텔 제온 E5-2697 v4 (브로드웰-EP),인텔,소켓2011-V3,14,18,36,2.3,NA,45,NA,145,NA,NA,NA,NA
인텔 코어i5-6세대 6500T (스카이레이크),인텔,소켓1151,14,쿼드,4,2.5,NA,6,NA,65,인텔 HD 530,NA,NA,NA
인텔 코어i3-6세대 6100T (스카이레이크),인텔,소켓1151,14,듀얼,4,3.2,NA,3,NA,35,인텔 HD 530,NA,NA,NA
인텔 코어i3-6세대 6300T (스카이레이크),인텔,소켓1151,14,듀얼,4,3.3,NA,4,NA,35,인텔 HD 530,NA,NA,NA
인텔 코어i5-6세대 6600T (스카이레이크),인텔,소켓1151,14,쿼드,4,2.7,NA,6,NA,35,인텔 HD 530,NA,NA,NA
인텔 셀러론 G3900T (스카이레이크),인텔,소켓1151,14,듀얼,2,2.6,NA,2,NA,35,인텔 HD 510,350,NA,NA
인텔 코어i5-6세대 6400T (스카이레이크),인텔,소켓1151,14,쿼드,4,2.2,NA,6,NA,35,인텔 HD 530,NA,NA,NA
인텔 펜티엄 G4500T (스카이레이크),인텔,소켓1151,14,듀얼,2,3.5,NA,3,NA,35,인텔 HD 530,350,하이퍼스레딩,NA
인텔 코어i7-6세대 6700T (스카이레이크),인텔,소켓1151,14,쿼드,8,2.8,NA,8,NA,35,인텔 HD 530,350,NA,NA
인텔 코어2듀오 E6300 (콘로),인텔,소켓775,65,듀얼,2,1.86,NA,2,NA,65,NA,NA,NA,NA
AMD 애슬론64-X2 6000+ (브리즈번),AMD,소켓AM2,65,듀얼,2,3.1,1024,NA,NA,89,NA,NA,NA,NA
인텔 셀러론 430 (콘로-L),인텔,소켓775,65,싱글,1,1.8,NA,512,NA,35,NA,NA,NA,NA
인텔 제온 E5520 (네할렘),인텔,소켓1366,45,쿼드,8,2.26,NA,8,NA,80,NA,NA,NA,NA
AMD 애슬론64-X2 윈저 6000+,AMD,소켓AM2,90,듀얼,2,3.0,2,NA,NA,125,NA,NA,NA,NA
