AMD 라이젠 5 2600 (피나클 릿지),AMD,소켓AM4,12,헥사,12,3.4,3,16,NA,65,NA,NA,XFR / SENSEMI / SMT / Wraith Stealth 쿨러 포함,161300
인텔 코어i7-9세대 9700K (커피레이크-R),인텔,소켓1151v2,14,옥타,8,3.60,NA,12,NA,95,인텔 UHD 630,350,옵테인,439900
인텔 코어i5-9세대 9600K (커피레이크-R),인텔,소켓1151v2,14,헥사,6,3.70,NA,9,NA,95,인텔 UHD 630,350,옵테인,296000
인텔 코어i5-8세대 8500 (커피레이크),인텔,소켓1151v2,14,헥사,6,3.0,NA,9,NA,65,인텔 UHD 630,350,옵테인,233200
AMD 라이젠 3 2200G (레이븐 릿지),AMD,소켓AM4,14,쿼드,4,3.5,2,4,NA,65,AMD 라데온 Vega 8,1100,XFR / SENSEMI / Wraith STEALTH 쿨러 포함,70700
인텔 코어i7-8세대 8700 (커피레이크),인텔,소켓1151v2,14,헥사,12,3.20,NA,12,NA,65,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,354400
AMD 라이젠 7 2700X (피나클 릿지),AMD,소켓AM4,12,옥타,16,3.7,4,16,NA,105,NA,NA,XFR / SENSEMI / SMT / Wraith Prism 쿨러 포함,309200
인텔 코어i9-9세대 9900K (커피레이크-R),인텔,소켓1151v2,14,옥타,16,3.60,NA,16,NA,95,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,567700
인텔 코어i3-8세대 8100 (커피레이크),인텔,소켓1151v2,14,쿼드,4,3.60,NA,6,NA,65,인텔 UHD 630,350,옵테인,130600
인텔 코어i5-8세대 8400 (커피레이크),인텔,소켓1151v2,14,헥사,6,2.80,NA,9,NA,65,인텔 UHD 630,350,옵테인,212700
AMD 라이젠 7 2700 (피나클 릿지),AMD,소켓AM4,12,옥타,16,3.2,4,16,NA,65,NA,NA,XFR / SENSEMI / SMT / Wraith Spire (LED) 쿨러 포함,245000
인텔 코어i7-8세대 8700K (커피레이크),인텔,소켓1151v2,14,헥사,12,3.70,NA,12,NA,95,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,413300
AMD 라이젠 5 2600X (피나클 릿지),AMD,소켓AM4,12,헥사,12,3.6,3,16,NA,95,NA,NA,XFR / SENSEMI / SMT / Wraith Spire 쿨러 포함,213000
AMD 라이젠 5 2400G (레이븐 릿지),AMD,소켓AM4,14,쿼드,8,3.6,2,4,NA,65,AMD 라데온 Vega 11,1250,XFR / SENSEMI / SMT / Wraith STEALTH 쿨러 포함,127650
인텔 셀러론 G4900 (커피레이크),인텔,소켓1151v2,14,듀얼,2,3.1,NA,2,NA,54,인텔 UHD 610,350,NA,44800
인텔 코어i5-8세대 8600K (커피레이크),인텔,소켓1151v2,14,헥사,6,3.60,NA,9,NA,95,인텔 UHD 630,350,옵테인,302900
AMD 애슬론 200GE (레이븐 릿지),AMD,소켓AM4,14,듀얼,4,3.2,1,4,NA,35,AMD 라데온 Vega 3,1,NA,59800
인텔 코어i5-7세대 7500 (카비레이크),인텔,소켓1151,14,쿼드,4,3.4,NA,6,NA,65,인텔 HD 630,350,NA,244000
AMD 라이젠 스레드리퍼 2950X (피나클 릿지),AMD,소켓TR4,12,16,32,3.5,8,32,NA,180,NA,NA,XFR / SENSEMI / SMT / 정품: 쿨러 미포함 / 쿼드 채널 ECC 메모리 지원,1063000
인텔 펜티엄 골드 G5400 (커피레이크),인텔,소켓1151v2,14,듀얼,4,3.7,NA,4,NA,54,인텔 UHD 610,350,하이퍼스레딩,106000
인텔 코어X-시리즈 i9-9900X (스카이레이크),인텔,소켓2066,14,10,20,3.5,NA,19,NA,165,NA,NA,하이퍼스레딩 / 옵테인,1131760
AMD 라이젠 스레드리퍼 1900X (서밋 릿지),AMD,소켓TR4,14,옥타,16,3.8,4,16,NA,180,NA,NA,SENSEMI / SMT / 정품: 쿨러 미포함,289900
AMD 라이젠 7 1700 (서밋 릿지),AMD,소켓AM4,14,옥타,16,3.0,4,16,NA,65,NA,NA,SENSEMI / SMT / Wraith SPIRE 쿨러 포함,185000
인텔 코어i7-8세대 8086K (커피레이크),인텔,소켓1151v2,14,헥사,12,4.0,NA,12,NA,95,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,493000
AMD 라이젠 스레드리퍼 2990WX (피나클 릿지),AMD,소켓TR4,12,32,64,3.0,16,64,NA,250,NA,NA,XFR / SENSEMI / SMT / 정품: 쿨러 미포함 / 쿼드 채널 ECC 메모리 지원,2003000
AMD 라이젠 5 1600 (서밋 릿지),AMD,소켓AM4,14,헥사,12,3.2,3,16,NA,65,NA,NA,SENSEMI / SMT / Wraith SPIRE 쿨러 포함,155000
인텔 펜티엄 G4560 (카비레이크),인텔,소켓1151,14,듀얼,4,3.5,NA,3,NA,54,인텔 HD 610,350,하이퍼스레딩,92000
인텔 코어i5-9세대 9400F (커피레이크-R),인텔,소켓1151v2,14,헥사,6,2.90,NA,9,NA,65,NA,NA,NA,221500
인텔 코어X-시리즈 i9-9980XE (스카이레이크),인텔,소켓2066,14,18,36,3.0,NA,24,NA,165,NA,NA,하이퍼스레딩 / 옵테인,2778000
인텔 코어i5-4세대 4690 (하스웰 리프레시),인텔,소켓1150,22,쿼드,4,3.5,1,6,NA,84,인텔 HD 4600,1,NA,NA
인텔 코어i5-8세대 8600 (커피레이크),인텔,소켓1151v2,14,헥사,6,3.1,NA,9,NA,65,인텔 UHD 630,350,옵테인,313900
인텔 코어i7-7세대 7700 (카비레이크),인텔,소켓1151,14,쿼드,8,3.6,NA,8,NA,65,인텔 HD 630,350,하이퍼스레딩,375000
인텔 코어i5-6세대 6600 (스카이레이크),인텔,소켓1151,14,쿼드,4,3.3,1,6,NA,65,인텔 HD 530,NA,NA,258230
인텔 코어i5-2세대 2500 (샌디브릿지),인텔,소켓1155,32,쿼드,4,3.3,NA,6,NA,95,인텔 HD 2000,800,NA,NA
인텔 코어i7-3세대 3770 (아이비브릿지),인텔,소켓1155,22,쿼드,8,3.4,NA,8,NA,77,인텔 HD 4000,650,하이퍼스레딩,NA
인텔 코어i7-7세대 7700K (카비레이크),인텔,소켓1151,14,쿼드,8,4.2,NA,8,NA,91,인텔 HD 630,350,하이퍼스레딩,400200
인텔 코어i3-8세대 8350K (커피레이크),인텔,소켓1151v2,14,쿼드,4,4.00,NA,8,NA,91,인텔 UHD 630,350,옵테인,193900
AMD 라이젠 5 1600X (서밋 릿지),AMD,소켓AM4,14,헥사,12,3.6,3,16,NA,95,NA,NA,SENSEMI / SMT / 정품: 쿨러 미포함 / 멀티팩: Wraith MAX 쿨러 포함,213100
인텔 코어i5-3세대 3570 (아이비브릿지),인텔,소켓1155,22,쿼드,4,3.4,NA,6,NA,77,인텔 HD 2500,650,NA,NA
인텔 코어i5-4세대 4670 (하스웰),인텔,소켓1150,22,쿼드,4,3.4,1,6,NA,84,인텔 HD 4600,1,NA,NA
AMD 라이젠 3 1200 (서밋 릿지),AMD,소켓AM4,NA,쿼드,4,3.1,2,8,NA,65,NA,NA,SENSEMI / Wraith STEALTH 쿨러 포함,88000
인텔 코어X-시리즈 i9-7900X (스카이레이크),인텔,소켓2066,14,10,20,3.30,NA,13,NA,140,NA,NA,옵테인,1115600
AMD 라이젠 스레드리퍼 1950X (서밋 릿지),AMD,소켓TR4,14,16,32,3.4,NA,32,NA,180,NA,NA,SENSEMI / SMT / 정품: 쿨러 미포함,793500
AMD 라이젠 7 1800X (서밋 릿지),AMD,소켓AM4,14,옥타,16,3.6,4,16,NA,95,NA,NA,SENSEMI / SMT / 정품: 쿨러 미포함 / 멀티팩: Wraith MAX 쿨러 포함,326580
AMD 라이젠 7 1700X (서밋 릿지),AMD,소켓AM4,14,옥타,16,3.4,4,16,NA,95,NA,NA,SENSEMI / SMT / 정품: 쿨러 미포함 / 멀티팩: Wraith MAX 쿨러 포함,198240
AMD 라이젠 5 1500X (서밋 릿지),AMD,소켓AM4,14,쿼드,8,3.5,2,16,NA,65,NA,NA,SENSEMI / SMT / Wraith SPIRE 쿨러 포함,127600
인텔 코어i3-7세대 7100 (카비레이크),인텔,소켓1151,14,듀얼,4,3.9,NA,3,NA,51,인텔 HD 630,350,하이퍼스레딩,166900
인텔 코어X-시리즈 i7-7820X (스카이레이크),인텔,소켓2066,14,옥타,16,3.60,NA,11,NA,140,NA,NA,옵테인,685000
인텔 제온 E5-2620 v4 (브로드웰-EP),인텔,소켓2011-V3,14,옥타,16,2.1,NA,20,NA,85,NA,NA,NA,533290
인텔 코어i5-7세대 7400 (카비레이크),인텔,소켓1151,14,쿼드,4,3.0,NA,6,NA,65,인텔 HD 630,350,NA,245050
인텔 셀러론 G3930 (카비레이크),인텔,소켓1151,14,듀얼,2,2.9,NA,2,NA,51,인텔 HD 610,350,NA,83000
AMD 라이젠 5 1400 (서밋 릿지),AMD,소켓AM4,14,쿼드,8,3.2,2,8,NA,65,NA,NA,SENSEMI / SMT / Wraith STEALTH 쿨러 포함,112800
인텔 코어i5-7세대 7600 (카비레이크),인텔,소켓1151,14,쿼드,4,3.5,NA,6,NA,65,인텔 HD 630,350,NA,285000
인텔 코어i7-6세대 6700 (스카이레이크),인텔,소켓1151,14,쿼드,8,3.4,1,8,NA,65,인텔 HD 530,350,NA,379000
인텔 펜티엄 G4600 (카비레이크),인텔,소켓1151,14,듀얼,4,3.6,NA,3,NA,51,인텔 HD 630,350,하이퍼스레딩,118000
