6066396,AMD 라이젠 5 2600 (피나클 릿지),AMD,NA,12,헥사,12,3.4,3,16,NA,65,NA,NA,XFR / SENSEMI / SMT / Wraith Stealth 쿨러 포함,161300
6515603,인텔 코어i7-9세대 9700K (커피레이크-R),인텔,NA,14,옥타,8,3.60,NA,12,NA,95,인텔 UHD 630,350,옵테인,439900
6515620,인텔 코어i5-9세대 9600K (커피레이크-R),인텔,NA,14,헥사,6,3.70,NA,9,NA,95,인텔 UHD 630,350,옵테인,296000
6020667,인텔 코어i5-8세대 8500 (커피레이크),인텔,NA,14,헥사,6,3.0,NA,9,NA,65,인텔 UHD 630,350,옵테인,233200
5884539,AMD 라이젠 3 2200G (레이븐 릿지),AMD,NA,14,쿼드,4,3.5,2,4,NA,65,AMD 라데온 Vega 8,1100,XFR / SENSEMI / Wraith STEALTH 쿨러 포함,70700
5530013,인텔 코어i7-8세대 8700 (커피레이크),인텔,NA,14,헥사,12,3.20,NA,12,NA,65,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,354400
6066337,AMD 라이젠 7 2700X (피나클 릿지),AMD,NA,12,옥타,16,3.7,4,16,NA,105,NA,NA,XFR / SENSEMI / SMT / Wraith Prism 쿨러 포함,309200
6515580,인텔 코어i9-9세대 9900K (커피레이크-R),인텔,NA,14,옥타,16,3.60,NA,16,NA,95,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,567700
5530456,인텔 코어i3-8세대 8100 (커피레이크),인텔,NA,14,쿼드,4,3.60,NA,6,NA,65,인텔 UHD 630,350,옵테인,130600
5530356,인텔 코어i5-8세대 8400 (커피레이크),인텔,NA,14,헥사,6,2.80,NA,9,NA,65,인텔 UHD 630,350,옵테인,212700
6066361,AMD 라이젠 7 2700 (피나클 릿지),AMD,NA,12,옥타,16,3.2,4,16,NA,65,NA,NA,XFR / SENSEMI / SMT / Wraith Spire (LED) 쿨러 포함,245000
5529981,인텔 코어i7-8세대 8700K (커피레이크),인텔,NA,14,헥사,12,3.70,NA,12,NA,95,인텔 UHD 630,350,하이퍼스레딩 / 옵테인,413300
6066419,AMD 라이젠 5 2600X (피나클 릿지),AMD,NA,12,헥사,12,3.6,3,16,NA,95,NA,NA,XFR / SENSEMI / SMT / Wraith Spire 쿨러 포함,213000
5884096,AMD 라이젠 5 2400G (레이븐 릿지),AMD,NA,14,쿼드,8,3.6,2,4,NA,65,AMD 라데온 Vega 11,1250,XFR / SENSEMI / SMT / Wraith STEALTH 쿨러 포함,127700
