name,manufacturer,type,prod_name,nm,clock,b_clock,sp,PCIe,gddr,memory_c,memory_v,memory_b,etc,price
MSI 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6,MSI,vga,GTX1070Ti,16,1607,1683,2432,3.0x16,5,8008,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 180W / 정격파워 500W 이상 / 전원부: 10페이즈 / 2개 팬 / 279mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,650000
ZOTAC GAMING AMP EXTREME CORE 지포스 RTX 2070 D6 8GB,ZOTAC,vga,RTX2070,12,NA,1815,2304,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 550W / 3개 팬 / 308mm / 백플레이트 / LED 라이트 / SPECTRA,691600
갤럭시 GALAX 지포스 RTX 2080 개간지 EXOC D6 8GB,갤럭시,vga,RTX2080,12,1515,1860,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 245W / 정격파워 650W 이상 / 전원부: 10페이즈 / 3개 팬 / 294mm / 백플레이트 / LED 라이트,986900
GIGABYTE AORUS Xtreme 지포스 RTX 2070 D6 8GB,GIGABYTE,vga,RTX2070,12,NA,1815,2304,3.0x16,6,14142,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 550W / 전원부: 10+2페이즈 / 3개 팬 / 290mm / 백플레이트 / LED 라이트 / RGB FUSION,788680
COLORFUL iGAME 지포스 RTX 2080 Advanced OC D6 8GB,COLORFUL,vga,RTX2080,12,1515,1800,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 전원부: 10페이즈 / 3개 팬 / 320mm / 백플레이트 / LED 라이트,924900
갤럭시 GALAX 지포스 RTX 2080 개간지 OC D6 8GB BLACK Edition,갤럭시,vga,RTX2080,12,NA,1800,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 650W 이상 / 전원부: 10페이즈 / 3개 팬 / 308mm / 백플레이트 / LED 라이트,947000
MSI 지포스 RTX 2070 아머 OC D6 8GB,MSI,vga,RTX2070,12,1410,1740,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 185W / 정격파워 550W 이상 / 2개 팬 / 309mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,672500
GAINWARD 지포스 GTX1060 게이머 스피릿 Dual D5 3GB 디앤디컴,GAINWARD,vga,GTX1060,16,1506,1708,1152,3.0x16,5,8000,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 252mm,220900
COLORFUL 지포스 GTX1050 토마호크 OC D5 2GB,COLORFUL,vga,GTX1050,14,1430,1544,640,NA,NA,7000,2,128,DVI / HDMI / DP / 최대 75W / 전원부: 4페이즈 / 2개 팬 / 240mm,129000
AFOX 지포스 GT710 OZ D3 1GB LP 무소음 디앤디컴,AFOX,vga,GT710,28,954,NA,192,2.0x8,3,1600,1,64,DVI / HDMI / D-SUB / 최대 모니터 3개 / 최대 19W / 정격파워 300W 이상 / 150mm,40000
HIS 라데온 RX 560 14CU iCooler OC D5 2GB,HIS,vga,RX560D,14,NA,1196,896,3.0x8,5,6000,2,128,DVI / HDMI / DP / 최대 모니터 3개 / 최대 48W / 정격파워 400W 이상 / 1개 팬 / 170mm,84500
SAPPHIRE 라데온 RX 570 PULSE OC D5 8GB Dual-X,SAPPHIRE,vga,RX570,14,NA,1284,2048,3.0x16,5,NA,8,256,DVI / HDMI / DP / 최대 모니터 5개 이상 / 최대 180W / 정격파워 500W / 전원부: 4페이즈 / 2개 팬 / 230mm / 백플레이트,199500
SAPPHIRE 라데온 RX 580 PULSE OC D5 4GB Dual-X,SAPPHIRE,vga,RX580,14,NA,1366,2304,3.0x16,5,7000,4,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 225W / 정격파워 500W 이상 / 전원부: 5페이즈 / 2개 팬 / 230mm / 백플레이트,228300
ZOTAC 지포스 GT1030 D5 2GB LP,ZOTAC,vga,GT1030,14,1227,1468,384,3.0x4,5,6000,2,64,DVI / HDMI / 최대 모니터 2개 / 최대 30W / 정격파워 300W 이상 / 전원부: 2페이즈 / 1개 팬 / 172.5mm,95000
MANLI 지포스 GTX1070 Gallardo OC D5 8GB,MANLI,vga,GTX1070,16,1569,1759,1920,3.0x16,5,8008,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 150W / 전원부: 5페이즈 / 3개 팬 / 305mm / 백플레이트 / LED 라이트,539990
리드텍 WinFast 지포스 GT1030 D5 2GB,리드텍,vga,GT1030,NA,1227,1468,384,NA,NA,6004,2,64,DVI / HDMI / 최대 모니터 2개 / 최대 30W / 정격파워 300W 이상 / 전원부: 2페이즈 / 1개 팬 / 167mm,88000
GIGABYTE 지포스 RTX 2060 Gaming OC D6 6GB,GIGABYTE,vga,RTX2060,12,NA,1830,1920,3.0x16,6,14000,6,192,HDMI / DP / 최대 모니터 4개 / 정격파워 500W 이상 / 전원부: 6+2페이즈 / 3개 팬 / 281mm / 백플레이트 / LED 라이트 / RGB FUSION,523000
한성컴퓨터 아키티오 노드 프로 eGPU BOX,한성컴퓨터,vga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PCIe3.0x16 / 썬더볼트3 / 인터페이스: 4레인 PCI Express 3.0(x16) / 윈도우10 전용 / 그래픽 전원: 8핀(6+2) 2개 / 전원: 500W / 무게: 3.42kg / 사용 조건: 썬더볼트3 지원 보드 / 그래픽카드 미장착,399000
AFOX 지포스 GTX1070 D5 8GB X3,AFOX,vga,GTX1070,16,1506,1683,1920,3.0x16,5,8200,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 150W / 정격파워 500W 이상 / 전원부: 6페이즈 / 3개 팬 / 295mm,430000
갤럭시 GALAX 지포스 GTX1060 D5 6GB Gaming Box,갤럭시,vga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지포스 GTX1060 / 16nm / 1531 MHz , 부스트 1683MHz / 1280개 / GDDR5(DDR5) / 8008MHz / 6GB / 192-bit / DVI / DP / 썬더볼트3 / 최대 모니터 3개 / 최대 230W / 전원부: 4페이즈 / 2개 팬 / 165mm",505000
AXLE 지포스 GTX1050 Ti V2 D5 4GB,AXLE,vga,GTX1050Ti,14,1290,1392,768,3.0x16,5,7008,4,NA,HDMI / DP / 최대 모니터 3개 / 최대 75W / 정격파워 300W 이상 / 전원부: 2+1페이즈 / 1개 팬 / 210mm,158500
ZOTAC 지포스 GT730 D5 1GB,ZOTAC,vga,GT730,28,902,NA,384,NA,NA,5010,1,64,DVI / HDMI / 최대 모니터 3개 / 최대 23W / 정격파워 300W 이상 / 1개 팬 / 160mm,56000
SAPPHIRE 라데온 RX 580 NITRO+ OC D5 8GB Dual-X,SAPPHIRE,vga,RX580,14,NA,1411,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 235W / 정격파워 500W 이상 / 전원부: 6페이즈 / 2개 팬 / 260mm / 백플레이트 / LED 라이트,297800
갤럭시 GALAX 지포스 RTX 2070 WHITE LABEL OC D6 8GB,갤럭시,vga,RTX2070,12,1410,1830,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 215W / 정격파워 550W 이상 / 전원부: 8페이즈 / 2개 팬 / 268mm / 백플레이트 / LED 라이트,683700
이엠텍 HV 지포스 GTX1060 WHITE MONSTER OC D5 6GB,이엠텍,vga,GTX1060,16,1620,1848,1280,3.0x16,5,8000,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 248mm / 백플레이트 / LED 라이트,357200
COLORFUL iGAME 지포스 RTX 2070 Ultra D6 8GB,COLORFUL,vga,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 185W / 전원부: 8+2페이즈 / 3개 팬 / 318mm / 백플레이트 / 오버클럭 물리키 / LED 라이트,600000
GIGABYTE 라데온 RX 580 Gaming D5 8GB (벌크),GIGABYTE,vga,RX580,14,1340,1355,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 정격파워 500W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 232mm,218800
PALIT 지포스 GT1030 D4 2GB,PALIT,vga,GT1030,14,1151,1379,384,3.0x4,NA,NA,NA,NA,2100MHz / 2GB / 64-bit / DVI / HDMI / 최대 20W / 정격파워 300W 이상 / 1개 팬 / 135mm,82000
갤럭시 GALAX 지포스 RTX 2080 WHITE LABEL OC D6 8GB,갤럭시,vga,RTX2080,12,1515,1800,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 650W / 전원부: 10페이즈 / 2개 팬 / 268mm / 백플레이트 / LED 라이트,965000
MSI 지포스 GTX1060 OC D5 6GB 윈드스톰,MSI,vga,GTX1060,16,1544,1759,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 120W / 정격파워 400W 이상 / 2개 팬 / 247mm,306700
MSI 지포스 RTX 2080 게이밍 트리오 D6 8GB 트라이프로져,MSI,vga,RTX2080,12,1515,1710,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W / 3개 팬 / 327mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,1050000
갤럭시 GALAX 지포스 GTX1060 EXOC D5 6GB G天命,갤럭시,vga,GTX1060,16,1556,1771,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 268mm,303200
MSI 지포스 RTX 2080 벤투스 D6 8GB,MSI,vga,RTX2080,12,1515,1710,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 215W / 정격파워 650W 이상 / 전원부: 11페이즈 / 2개 팬 / 268mm / 백플레이트,898600
갤럭시 GALAX 지포스 GTX1070 EX D5 8GB,갤럭시,vga,GTX1070,16,1518,1708,1920,3.0x16,5,8008,8,256,"DVI / HDMI / DP / 최대 모니터 4개 / 최대 150W / 정격파워 500W 이상 / 전원부: 7페이즈 / 2개 팬 / 287mm / 백플레이트 / 2018년 8월 28일부터 쿨러 변경, LED 미장착",500900
MANLI 지포스 GTX1060 Black Frame OC D5 6GB,MANLI,vga,GTX1060,16,1531,1746,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 전원부: 4페이즈 / 2개 팬 / 225mm,277200
GIGABYTE 지포스 RTX 2060 WINDFORCE OC D6 6GB,GIGABYTE,vga,RTX2060,12,NA,1770,1920,3.0x16,6,14000,6,192,HDMI / DP / 최대 모니터 4개 / 정격파워 500W 이상 / 전원부: 4+2페이즈 / 2개 팬 / 265mm / 백플레이트,497000
ZOTAC GAMING AMP 지포스 RTX 2080 D6 8GB,ZOTAC,vga,RTX2080,12,NA,1830,2944,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 650W / 3개 팬 / 308mm,1085500
ZOTAC GAMING 지포스 RTX 2080 Ti D6 11GB TRIPLE,ZOTAC,vga,RTX2080Ti,12,1605,NA,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 250W / 정격파워 650W / 3개 팬 / 308mm / LED 라이트 / SPECTRA,2382270
갤럭시 GALAX 지포스 RTX 2080 Ti 개간지 D6 11GB BLACK Edition,갤럭시,vga,RTX2080Ti,12,1350,1545,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 250W / 정격파워 650W 이상 / 전원부: 13+3페이즈 / 3개 팬 / 308mm / 백플레이트 / LED 라이트,1422000
COLORFUL iGAME 지포스 GTX1060 VULCAN U D5 3GB,COLORFUL,vga,GTX1060,16,1556,1771,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 전원부: 5페이즈 / 2개 팬 / 264mm,199000
MSI 지포스 RTX 2080 벤투스 OC D6 8GB,MSI,vga,RTX2080,12,1515,1800,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 650W / 전원부: 11페이즈 / 2개 팬 / 268mm / 백플레이트,939400
GIGABYTE 지포스 RTX 2080 Ti UDV WF3 D6 11GB,GIGABYTE,vga,RTX2080Ti,12,NA,1545,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 750W / 전원부: 8+3페이즈 / 3개 팬 / 281mm / 백플레이트 / LED 라이트 / RGB FUSION,1557000
MSI 지포스 GTX1070 Ti 아머 D5 8GB,MSI,vga,GTX1070Ti,NA,1607,1683,2432,3.0x16,5,8008,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 180W / 정격파워 500W 이상 / 2개 팬 / 279mm,578000
XFX 라데온 RX 570 블랙울프 OC D5 8GB,XFX,vga,RX570,14,NA,1286,2048,3.0x16,5,7000,8,256,DVI / HDMI / DP / 정격파워 500W 이상 / 2개 팬 / 255mm / 백플레이트,142900
PALIT 지포스 RTX 2080 GAMINGPRO OC D6 8GB,PALIT,vga,RTX2080,12,1515,1815,2944,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,918000
리드텍 쿼드로 P400 MDP to DP D5 2GB ABKO,리드텍,vga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256개 / PCIe3.0x16 / GDDR5(DDR5) / 2GB / 64-bit / DP / 1개 팬 / 145mm,152000
ASRock Phantom Gaming X 라데온 RX 570 OC D5 8GB 에즈윈,ASRock,vga,RX570,14,1280,1331,2048,3.0x16,5,7000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm,179000
ZOTAC GAMING 지포스 RTX 2080 D6 8GB TWIN,ZOTAC,vga,RTX2080,12,NA,1770,2944,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 215W / 정격파워 650W / 2개 팬 / 308mm / 백플레이트,957300
EVGA 지포스 RTX 2080 XC ULTRA GAMING D6 8GB,EVGA,vga,RTX2080,12,1515,1815,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 210W / 정격파워 650W / 전원부: 10페이즈 / 2개 팬 / 269.2mm / 백플레이트 / LED 라이트,1021600
GIGABYTE 라데온 RX Vega 56 Gaming HBM2 8GB,GIGABYTE,vga,RXVega56,14,1156,1471,3584,3.0x16,NA,NA,NA,NA,8GB / 2048-bit / HDMI / DP / 최대 모니터 5개 / 정격파워 650W 이상 / 2개 팬 / 274mm / 백플레이트,495000
ZOTAC 지포스 GTX1070 MINi D5 8GB,ZOTAC,vga,GTX1070,16,1518,1708,1920,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 150W / 정격파워 500W 이상 / 전원부: 5페이즈 / 2개 팬 / 210mm,516000
갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP,갤럭시,vga,GTX1050Ti,14,1303,1417,768,3.0x16,5,7008,4,128,DVI / HDMI / DP / 최대 75W / 정격파워 300W 이상 / 전원부: 3페이즈 / 2개 팬 / 166mm,175300
GIGABYTE 라데온 RX 580 AORUS D5 4GB,GIGABYTE,vga,RX580,14,1365,1380,2304,3.0x16,5,7000,4,256,DVI / HDMI / DP / 최대 모니터 5개 / 정격파워 500W 이상 / 전원부: 8페이즈 / 2개 팬 / 232mm / 백플레이트 / LED 라이트 / RGB FUSION,210000
