MSI A320M PRO-VH PLUS,MSI,AMD(소켓AM4),(AMD) A320,6,7,4,32,PCIe3.0 x16,3,4,NA,1,2,4,NA,8ch / 그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원,62500
MSI B450 토마호크,MSI,AMD(소켓AM4),(AMD) B450,4,7,4,64,PCIe3.0 x16,3,6,1,1,2,2,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,129000
ASUS PRIME Z390-A STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / AURA SYNC,247800
MSI X470 게이밍 플러스,MSI,AMD(소켓AM4),(AMD) X470,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,4,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,161800
GIGABYTE Z390 AORUS ELITE 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,4,1,4,64,PCIe3.0 x16,6,6,2,2,4,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / RGB FUSION,219700
MSI MPG Z390 게이밍 엣지 AC,MSI,인텔(소켓1151v2),(인텔) Z390,3,12,4,64,PCIe3.0 x16,6,6,2,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / UEFI / LED 라이트 / MYSTIC LIGHT,222900
GIGABYTE B450 AORUS ELITE 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B450,5,7,4,64,PCIe3.0 x16,4,6,2,1,4,4,NA,멀티 GPU: CrossFire / 8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / RGB FUSION,123000
ASRock Z390 PRO4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,4,10,4,64,PCIe3.0 x16,5,6,2,1,2,1,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,163400
ASRock Z390 Phantom Gaming-ITX/ac 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,0,7,4,32,PCIe3.0 x16,1,4,2,1,NA,2,5,XMP / 옵테인 / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 헤더,284000
ASUS ROG MAXIMUS XI HERO STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,NA,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / AURA SYNC,406900
MSI B450M 박격포 티타늄,MSI,AMD(소켓AM4),(AMD) B450,4,NA,4,64,PCIe3.0 x16,4,4,2,1,2,4,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,138000
ASRock Z390 TAICHI 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,4,12,4,64,PCIe3.0 x16,5,8,3,1,NA,4,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 라이트 / LED 헤더,315100
ASRock A320M-HDV R3.0 에즈윈,ASRock,AMD(소켓AM4),(AMD) A320,1,6,4,32,PCIe3.0 x16,2,4,1,1,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,63000
BIOSTAR B360MHD PRO 이엠텍,BIOSTAR,인텔(소켓1151v2),(인텔) B360,7,5,4,32,PCIe3.0 x16,3,4,NA,2,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,68600
ASUS PRIME B360M-K iBORA,ASUS,인텔(소켓1151v2),(인텔) B360,5,5,4,32,PCIe3.0 x16,3,6,1,2,2,2,2,XMP / 8ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,86950
ASRock B450M PRO4 디앤디컴,ASRock,AMD(소켓AM4),(AMD) B450,4,9,4,64,PCIe3.0 x16,3,4,2,1,2,4,2,멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 헤더,90000
ASUS EX A320M-GAMING STCOM,ASUS,AMD(소켓AM4),(AMD) A320,4,6,4,64,PCIe3.0 x16,3,4,1,2,2,4,NA,8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,73000
GIGABYTE GA-AB350M-Gaming 3 게이밍에디션 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B350,4,7,4,64,NA,3,6,1,1,2,4,2,XMP / 6ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,85600
ASRock A320M-DGS 디앤디컴,ASRock,AMD(소켓AM4),(AMD) A320,6,7,4,32,PCIe3.0 x16,2,4,1,1,2,4,NA,7.1ch / 그래픽 출력: DVI / 기가비트 LAN / AMD APU 지원,54200
GIGABYTE B450 AORUS M 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) B450,4,7,4,64,PCIe3.0 x16,3,6,1,1,2,4,2,XMP / 멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / RGB FUSION,107800
ASUS ROG CROSSHAIR VII HERO STCOM,ASUS,AMD(소켓AM4),(AMD) X470,4,NA,4,64,PCIe3.0 x16,5,6,2,1,2,8,2,멀티 GPU: CrossFire X SLI / 8ch / 기가비트 LAN / UEFI / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,361000
ASUS PRIME H310M-K 코잇,ASUS,인텔(소켓1151v2),(인텔) H310,5,4,4,32,NA,3,4,NA,2,2,2,NA,XMP / 8ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,68000
ASRock A320M-HDV R4.0 에즈윈,ASRock,AMD(소켓AM4),(AMD) A320,1,6,4,32,PCIe3.0 x16,2,4,1,1,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,64200
MSI B450 게이밍 프로 카본 AC,MSI,AMD(소켓AM4),(AMD) B450,4,NA,4,64,PCIe3.0 x16,5,6,2,1,2,2,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,157000
ASUS H81M-K STCOM,ASUS,인텔(소켓1150),(인텔) H81,4,NA,3,16,PCIe x16,NA,2,NA,2,NA,2,NA,8ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN,60000
MSI Z390-A PRO,MSI,인텔(소켓1151v2),(인텔) Z390,4,10,4,64,PCIe3.0 x16,6,6,1,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: D-SUB DVI DP / 기가비트 LAN / UEFI,162900
ASUS PRIME B450M-A iBORA,ASUS,AMD(소켓AM4),(AMD) B450,4,6,4,64,PCIe3.0 x16,3,6,1,2,NA,4,2,8ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더,103000
GIGABYTE Z390 AORUS MASTER 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,4,12,4,64,PCIe3.0 x16,6,6,3,2,4,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 7.1ch / 그래픽 출력: HDMI / 기가비트 LAN / 무선 LAN / UEFI / LED 라이트 / LED 헤더 / RGB FUSION,367500
MSI MPG Z390 게이밍 플러스,MSI,인텔(소켓1151v2),(인텔) Z390,4,10,4,64,PCIe3.0 x16,6,6,NA,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / LED 라이트 / MYSTIC LIGHT,185000
GIGABYTE B450 AORUS ELITE 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) B450,5,7,4,64,PCIe3.0 x16,4,6,2,1,4,4,NA,멀티 GPU: CrossFire / 8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / RGB FUSION,119000
MSI B360 게이밍 프로 카본,MSI,인텔(소켓1151v2),(인텔) B360,3,10,4,64,PCIe3.0 x16,5,6,2,1,2,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,129000
MSI MEG Z390 에이스,MSI,인텔(소켓1151v2),(인텔) Z390,4,13,4,64,PCIe3.0 x16,6,6,3,2,4,NA,6,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 7.1ch / 기가비트 LAN / 무선 LAN / UEFI / LED 라이트 / MYSTIC LIGHT,372000
COLORFUL BATTLE-AX C.B360M-PLUS V20 STCOM,COLORFUL,인텔(소켓1151v2),(인텔) B360,5,7,4,NA,PCIe3.0 x16,4,5,1,1,2,2,2,XMP / 옵테인 / 8ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,75800
ASUS PRIME A320M-K STCOM,ASUS,AMD(소켓AM4),(AMD) A320,1,6,4,32,NA,3,4,1,2,2,4,NA,8ch / 그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI,66000
ASRock FATAL1TY B450 Gaming-ITX/ac 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,0,8,4,32,PCIe3.0 x16,NA,4,1,1,2,2,2,7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / AMD APU 지원 / LED 헤더,151500
GIGABYTE B450M GAMING 게이밍에디션 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B450,5,3,4,32,NA,3,4,1,2,2,4,NA,6ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 헤더 / RGB FUSION,87000
COLORFUL iGAME Z390 Vulcan X V20 STCOM,COLORFUL,인텔(소켓1151v2),(인텔) Z390,4,14,4,NA,PCIe3.0 x16,6,6,2,2,2,NA,4,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 라이트,206000
ASUS PRIME H310M-K R2.0 iBORA,ASUS,인텔(소켓1151v2),(인텔) H310,5,4,4,32,NA,3,4,NA,2,2,2,NA,XMP / 8ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,69910
ASRock B450M-HDV R4.0 디앤디컴,ASRock,AMD(소켓AM4),(AMD) B450,1,6,4,32,PCIe3.0 x16,2,4,1,1,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,82800
MSI Z370 SLI PLUS,MSI,인텔(소켓1151v2),(인텔) Z370,4,11,4,64,PCIe3.0 x16,6,6,2,1,2,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,147800
ASUS PRIME B360M-A STCOM,ASUS,인텔(소켓1151v2),(인텔) B360,6,5,4,64,PCIe3.0 x16,3,6,2,2,2,1,2,XMP / 옵테인 / 8ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / AURA SYNC,93100
ASRock B360M PRO4 디앤디컴,ASRock,인텔(소켓1151v2),(인텔) B360,4,10,4,64,PCIe3.0 x16,4,6,3,2,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,86600
ASRock H310CM-HDV 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,8,4,4,32,NA,2,4,NA,1,4,2,NA,XMP / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,64900
ASUS PRIME Z370-A STCOM,ASUS,인텔(소켓1151v2),(인텔) Z370,4,2,4,64,PCIe3.0 x16,7,6,2,2,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / AURA SYNC,252490
ASRock H310M-HDV 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,8,5,4,32,NA,2,4,NA,1,4,2,NA,XMP / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,76000
ASRock H310M-HDV/M.2 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,8,5,4,32,NA,3,4,1,1,4,2,NA,XMP / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,77680
ASUS PRIME X470-PRO iBORA,ASUS,AMD(소켓AM4),(AMD) X470,4,10,4,64,PCIe3.0 x16,6,6,2,1,NA,6,2,멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,205700
ASUS PRIME X370-PRO iBORA,ASUS,AMD(소켓AM4),(AMD) X370,4,10,4,64,PCIe3.0 x16,6,8,1,1,NA,6,2,멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / AURA SYNC,131600
MSI MEG Z390 갓라이크,MSI,인텔(소켓1151v2),(인텔) Z390,2,18,4,64,PCIe3.0 x16,5,6,3,1,NA,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / U.2: 1개 / 7.1ch / 기가비트 LAN / 듀얼 LAN / 무선 LAN / 블루투스 / UEFI / VR Ready / LED 라이트 / MYSTIC LIGHT,774000
MSI B360 게이밍 아틱,MSI,인텔(소켓1151v2),(인텔) B360,3,7,4,64,PCIe3.0 x16,6,5,1,1,2,2,2,XMP / 옵테인 / 7.1ch / 그래픽 출력: DVI DP / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,126000
ASUS ROG CROSSHAIR VII HERO iBORA,ASUS,AMD(소켓AM4),(AMD) X470,4,NA,4,64,PCIe3.0 x16,5,6,2,1,2,8,2,멀티 GPU: CrossFire X SLI / 8ch / 기가비트 LAN / UEFI / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,337000
GIGABYTE Z390 AORUS PRO 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,4,1,4,64,PCIe3.0 x16,6,6,2,2,4,3,3,XMP / 옵테인 / 7.1ch / 그래픽 출력: HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / RGB FUSION,259900
GIGABYTE A320M-H 듀러블에디션 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) A320,5,6,4,32,PCIe3.0 x16,3,4,1,2,2,4,NA,XMP / 8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready,62100
ASRock Z390M ITX/ac 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,0,6,4,32,PCIe3.0 x16,NA,6,1,1,2,NA,6,XMP / 옵테인 / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN,192000
ASUS TUF B450M-PLUS GAMING STCOM,ASUS,AMD(소켓AM4),(AMD) B450,4,6,4,64,PCIe3.0 x16,3,6,1,1,2,3,1,멀티 GPU: CrossFire X / 8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,139800
GIGABYTE B450 AORUS PRO 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B450,4,7,4,64,PCIe3.0 x16,4,6,2,2,NA,4,2,멀티 GPU: CrossFire X / 8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / RGB FUSION,139000
MSI MPG Z390M 게이밍 엣지 AC,MSI,인텔(소켓1151v2),(인텔) Z390,4,10,4,64,PCIe3.0 x16,4,4,2,2,NA,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / UEFI / LED 라이트 / MYSTIC LIGHT,232000
ASUS PRIME H310M-K R2.0 코잇,ASUS,인텔(소켓1151v2),(인텔) H310,5,4,4,32,NA,3,4,NA,2,2,2,NA,XMP / 8ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,72300
ECS DURATHON2 B360 TIGER-T9 코잇,ECS,인텔(소켓1151v2),(인텔) B360,5,5,4,32,PCIe3.0 x16,3,4,NA,1,2,2,2,옵테인 / 6ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,70720
ASUS ROG MAXIMUS XI HERO (WI-FI AC) STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / AURA SYNC,449000
ASRock B450 PRO4 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,4,9,4,64,PCIe3.0 x16,6,6,2,NA,2,6,NA,멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB HDMI DP / 기가비트 LAN / AMD APU 지원,122900
GIGABYTE Z390 AORUS PRO WiFi 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,4,1,4,64,PCIe3.0 x16,6,6,2,2,4,3,3,XMP / 옵테인 / 7.1ch / 그래픽 출력: HDMI / 기가비트 LAN / 무선 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / RGB FUSION,269000
GIGABYTE X470 AORUS Gaming 7 WiFi 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) X470,4,12,4,64,PCIe3.0 x16,5,6,2,2,2,6,2,XMP / 멀티 GPU: CrossFire SLI / 7.1ch / 기가비트 LAN / 무선 LAN / 블루투스 / UEFI / VR Ready / LED 라이트 / RGB FUSION,301000
GIGABYTE GA-A320M-S2H 듀러블에디션 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) A320,5,6,4,32,PCIe3.0 x16,3,4,1,2,2,4,NA,XMP / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,64900
GIGABYTE B360 M AORUS PRO 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) B360,4,6,4,64,PCIe3.0 x16,3,6,1,1,2,3,1,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 헤더 / RGB FUSION,107000
ASRock H110M-DGS 디앤디컴,ASRock,인텔(소켓1151),(인텔) H110,1,4,4,32,NA,NA,4,NA,2,NA,2,NA,XMP / 7.1ch / 그래픽 출력: DVI / 기가비트 LAN / UEFI,51000
GIGABYTE X399 AORUS XTREME 피씨디렉트,GIGABYTE,AMD(소켓TR4),(AMD) X399,9,3,4,128,PCIe3.0 x16,5,6,3,2,NA,8,2,XMP / 멀티 GPU: CrossFire SLI / 7.1ch / 기가비트 LAN / 10기가비트 LAN / 듀얼 LAN / 무선 LAN / 블루투스 / UEFI / VR Ready / LED 라이트 / LED 헤더 / RGB FUSION,624550
ASUS ROG MAXIMUS XI FORMULA STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,4,6,2,NA,NA,8,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI / 기가비트 LAN / 무선 LAN / LED 라이트 / AURA SYNC,564000
MSI X470 게이밍 프로,MSI,AMD(소켓AM4),(AMD) X470,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,4,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,174000
GIGABYTE Z390 M GAMING 게이밍에디션 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,4,2,4,64,PCIe3.0 x16,4,6,2,1,NA,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 헤더,168000
MSI B450 게이밍 플러스,MSI,AMD(소켓AM4),(AMD) B450,4,NA,4,64,PCIe3.0 x16,6,6,1,1,2,2,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더,129000
