GeIL DDR4 8G PC4-21300 CL19 PRISTINE,GeIL,4,PC용,1,미포함,Dimm,8,2666,1.20V / 메모리 타이밍 : 19-19-19-43,49700
삼성전자 DDR4 8G PC4-21300,삼성전자,4,PC용,1,미포함,Dimm,8,2666,NA,57700
타무즈 DDR4 8G PC4-21300 CL19,타무즈,4,PC용,1,미포함,Dimm,8,2666,1.20V / 메모리 타이밍 : 19-19-19-43,51000
삼성전자 DDR4 16G PC4-21300,삼성전자,4,PC용,1,미포함,Dimm,16,2666,NA,118000
삼성전자 DDR4 8G PC4-19200,삼성전자,4,PC용,1,미포함,Dimm,8,2400,NA,57900
삼성전자 DDR4 4G PC4-19200,삼성전자,4,PC용,1,미포함,Dimm,4,2400,NA,31000
삼성전자 DDR4 4G PC4-21300,삼성전자,4,PC용,1,미포함,Dimm,4,2666,NA,31600
삼성전자 DDR4 16G PC4-19200,삼성전자,4,PC용,1,미포함,Dimm,16,2400,NA,119200
GeIL DDR4 8G PC4-24000 CL16 EVO SPEAR,GeIL,4,PC용,1,포함,Dimm,8,3000,1.35V / XMP / 메모리 타이밍 : 16-18-18-36,59300
GeIL DDR4 4G PC4-21300 CL19 PRISTINE,GeIL,4,PC용,1,미포함,Dimm,4,2666,1.20V / 메모리 타이밍 : 19-19-19-43,27700
G.SKILL DDR4 16G PC4-25600 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18-38,230000
ESSENCORE KLEVV DDR4 8G PC4-19200 CL15,ESSENCORE,4,PC용,1,미포함,Dimm,8,2400,1.20V / 메모리 타이밍 : 15-15-15,49500
삼성전자 DDR3 4G PC3-12800,삼성전자,3,PC용,1,미포함,Dimm,4,1600,NA,28600
삼성전자 DDR3 8G PC3-12800,삼성전자,3,PC용,1,미포함,Dimm,8,1600,NA,55500
G.SKILL DDR4 16G PC4-21300 CL18 TRIDENT Z RGB (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,2666,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 18-18-18-43,175410
G.SKILL DDR4 16G PC4-25600 CL16 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 16-18-18-38,269580
GeIL DDR4 8G PC4-19200 CL17 PRISTINE,GeIL,4,PC용,1,미포함,Dimm,8,2400,1.20V / 메모리 타이밍 : 17-17-17-39,49550
CORSAIR DDR4 16GB PC4-25600 CL16 VENGEANCE PRO RGB BLACK (8Gx2),CORSAIR,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18-36,222400
삼성전자 노트북 DDR4 16G PC4-19200,삼성전자,4,노트북용,1,미포함,SO-Dimm,16,2400,NA,128500
삼성전자 노트북 DDR4 8G PC4-21300,삼성전자,4,노트북용,1,미포함,SO-Dimm,8,2666,NA,61800
삼성전자 노트북 DDR4 4G PC4-19200,삼성전자,4,노트북용,1,미포함,SO-Dimm,4,2400,NA,33370
삼성전자 DDR3 4G PC3-10600,삼성전자,3,PC용,1,미포함,Dimm,4,1333,NA,NA
삼성전자 노트북 DDR4 16G PC4-21300,삼성전자,4,노트북용,1,미포함,SO-Dimm,16,2666,NA,128900
삼성전자 노트북 DDR4 8G PC4-19200,삼성전자,4,노트북용,1,미포함,SO-Dimm,8,2400,NA,61800
타무즈 DDR4 16G PC4-21300 CL19,타무즈,4,PC용,1,미포함,Dimm,16,2666,1.20V / 메모리 타이밍 : 19-19-19-43,109000
TeamGroup T-Force DDR4 16G PC4-19200 CL15 Delta RGB (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,2400,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / 메모리 타이밍 : 15-17-17-35,158790
GeIL DDR4 8G PC4-21300 CL19 SUPER LUCE RGB Sync 블랙,GeIL,4,PC용,1,포함,Dimm,8,2666,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / RGB LED / 메모리 타이밍 : 19-19-19-43,79900
Apacer DDR4 8G PC4-21300 CL16 PANTHER RAGE RGB 블랙,Apacer,4,PC용,1,포함,Dimm,8,2666,1.20V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍: 16-16-16-36,77500
G.SKILL DDR4 16G PC4-24000 CL16 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 16-18-18-38,230000
GeIL DDR4 16G PC4-21300 CL19 PRISTINE,GeIL,4,PC용,1,미포함,Dimm,16,2666,1.20V / 메모리 타이밍 : 19-19-19-43,106800
ESSENCORE KLEVV DDR4 8G PC4-21300 CL16,ESSENCORE,4,PC용,1,미포함,Dimm,8,2666,메모리 타이밍 : 16-18-18-36,51000
TeamGroup DDR4 8G PC4-21300 Elite,TeamGroup,4,PC용,1,미포함,Dimm,8,2666,1.20V / 메모리 타이밍 : 19-19-19-43,52000
TeamGroup T-Force DDR4 16G PC4-21300 CL15 Delta RGB 화이트 (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,2666,1.20V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍 : 15-17-17-35,172000
GeIL DDR4 8G PC4-19200 CL17 SUPER LUCE RGB Sync 블랙,GeIL,4,PC용,1,포함,Dimm,8,2400,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / 메모리 타이밍 : 17-17-17-39,78000
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT Z ROYAL 실버 (16Gx2),G.SKILL,4,PC용,2,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 16-18-18-38,460000
타무즈 DDR3 8G PC3-12800 CL11,타무즈,3,PC용,1,미포함,Dimm,8,1600,1.50V / 메모리 타이밍 : CL11 / 동작전압 1.5V,49000
삼성전자 노트북 DDR3 8G PC3-12800 1.35V,삼성전자,3,노트북용,1,미포함,SO-Dimm,8,1600,1.35V,57600
G.SKILL DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (8Gx4),G.SKILL,4,PC용,4,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 14-14-14-34,680000
G.SKILL DDR4 16G PC4-19200 CL15 TRIDENT Z RGB (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,2400,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 15-15-15-35,170530
삼성전자 노트북 DDR3 4G PC3-10600,삼성전자,3,노트북용,1,미포함,SO-Dimm,4,1333,NA,NA
ESSENCORE KLEVV DDR4 4G PC4-21300 CL16,ESSENCORE,4,PC용,1,미포함,Dimm,4,2666,메모리 타이밍 : 16-18-18-36,28000
타무즈 DDR4 8G PC4-19200 CL17,타무즈,4,PC용,1,미포함,Dimm,8,2400,1.20V / 메모리 타이밍 : 17-17-17-39,50500
타무즈 DDR4 4G PC4-19200 CL17,타무즈,4,PC용,1,미포함,Dimm,4,2400,1.20V / 메모리 타이밍 : 17-17-17-39,27500
TeamGroup DDR4 8G PC4-19200 Elite,TeamGroup,4,PC용,1,미포함,Dimm,8,2400,1.20V / 메모리 타이밍 : 16-16-16-39 / 2016년 9월 부로 이노베이션티뮤 → 바이픽스 로 유통사가 변경되었습니다.,50500
TeamGroup DDR4 4G PC4-19200 Elite,TeamGroup,4,PC용,1,미포함,Dimm,4,2400,1.20V / 메모리 타이밍 : 16-16-16-39 / 동작전압 : 1.20V / 2016년 9월 부로 이노베이션티뮤 → 바이픽스 로 유통사가 변경되었습니다.,27500
TeamGroup DDR3 4G PC3-12800,TeamGroup,3,PC용,1,미포함,Dimm,4,1600,1.50V / 메모리 타이밍 : 11-11-11-28 / 2016년 9월 부로 이노베이션티뮤 → 바이픽스 로 유통사가 변경되었습니다.,23000
타무즈 DDR4 4G PC4-21300 CL19,타무즈,4,PC용,1,미포함,Dimm,4,2666,1.20V / 메모리 타이밍 : 19-19-19-43,28100
GeIL DDR4 8G PC4-21300 CL19 SUPER LUCE RGB Sync 화이트,GeIL,4,PC용,1,포함,Dimm,8,2666,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / RGB LED / 메모리 타이밍 : 19-19-19-43,81700
GIGABYTE AORUS DDR4 16G PC4-25600 RGB (8Gx2) with Demo kit 피씨디렉트,GIGABYTE,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / RGB FUSION / 메모리 타이밍 : 16-18-18-38 / 데모 모듈 2개 포함,278700
G.SKILL DDR4 8G PC4-24000 CL16 AEGIS,G.SKILL,4,PC용,1,포함,Dimm,8,3000,1.35V / XMP / 메모리 타이밍 : 16-18-18-38,64170
G.SKILL DDR4 16G PC4-19200 CL17 SNIPER X SXW (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,2400,1.20V / 메모리 타이밍 : 17-17-17-39,146580
G.SKILL DDR4 16G PC4-34100 CL19 TRIDENT Z RGB (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4266,1.40V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 19-19-19-39,440000
TeamGroup DDR4 8G PC4-21300 New Elite Plus Black Gold,TeamGroup,4,PC용,1,포함,Dimm,8,2666,1.20V / 메모리 타이밍 : 19-19-19-43,54500
CORSAIR DDR4 32GB PC4-25600 CL16 VENGEANCE PRO RGB BLACK (16Gx2),CORSAIR,4,PC용,2,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18-36,479600
ESSENCORE KLEVV 노트북 DDR4 16G PC4-21300 CL16,ESSENCORE,4,노트북용,1,미포함,SO-Dimm,16,2666,메모리 타이밍 : 16-18-18-36,116800
삼성전자 노트북 DDR4 8G PC4-17000,삼성전자,4,노트북용,1,미포함,SO-Dimm,8,2133,NA,75170
타무즈 노트북 DDR3L 8G PC3-12800 CL11 1.35V,타무즈,3,노트북용,1,미포함,SO-Dimm,8,1600,1.35V,51950
TeamGroup DDR4 8G PC4-19200 New Elite Plus Black Gold,TeamGroup,4,PC용,1,포함,Dimm,8,2400,1.20V / 메모리 타이밍 : 16-16-16-39,52990
TeamGroup T-Force DDR4 16G PC4-32000 CL18 Night Hawk RGB (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,4000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍 : 18-20-20-44,315000
CORSAIR DDR4 16GB PC4-24000 CL15 VENGEANCE PRO RGB WHITE (8Gx2),CORSAIR,4,PC용,2,포함,Dimm,16,3000,1.35V / LED 색상: RGB / XMP / LED 라이트 / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 15-17-17-35,218200
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT Z RGB (8Gx4),G.SKILL,4,PC용,4,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18-38,460000
삼성전자 노트북 DDR3 8G PC3-12800,삼성전자,3,노트북용,1,미포함,SO-Dimm,8,1600,1.50V,57500
CORSAIR DDR4 32G PC4-25600 CL16 Dominator Platinum (16Gx2),CORSAIR,4,PC용,2,포함,Dimm,32,3200,1.35V / LED 색상: 화이트 / XMP / LED 라이트 / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18-36 / 동작전압 : 1.35V,459780
ADATA XPG DDR4 16G PC4-25600 CL16 SPECTRIX D80 블랙 (8Gx2),ADATA,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / RGB LED / 메모리 타이밍 : 16-18-18,262900
G.SKILL DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (16Gx2),G.SKILL,4,PC용,2,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 14-14-14-34,600000
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT ZKW (16Gx2),G.SKILL,4,PC용,2,포함,Dimm,32,3200,1.35V / XMP / 메모리 타이밍 : 16-18-18-38,389620
G.SKILL DDR4 16G PC4-25600 CL14 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 14-14-14-34,404370
G.SKILL DDR4 16G PC4-21300 CL19 AEGIS,G.SKILL,4,PC용,1,포함,Dimm,16,2666,1.20V / XMP / 메모리 타이밍 : 19-19-19-43,136800
G.SKILL DDR4 16G PC4-24000 CL15 RIPJAWS V VR,G.SKILL,4,PC용,1,포함,Dimm,16,3000,1.35V / XMP / 메모리 타이밍 : 15-15-15-35,164400
킹스톤 DDR4 4G PC4-19200,킹스톤,4,PC용,1,미포함,Dimm,4,2400,1.20V,34800
삼성전자 DDR2 2G PC2-6400,삼성전자,2,PC용,1,NA,Dimm,2,800,1.80V,NA
삼성전자 노트북 DDR3 4G PC3-12800,삼성전자,3,노트북용,1,미포함,SO-Dimm,4,1600,NA,31030
AFOX DDR4 4G PC4-21300 CL19,AFOX,4,PC용,1,미포함,Dimm,4,2666,1.20V,27000
삼성전자 DDR3 16G PC3-12800 ECC/REG LP,삼성전자,3,서버용,1,미포함,Dimm,16,1600,ECC / REG / LP 사이즈,69110
삼성전자 DDR4 8G PC4-19200 ECC/REG,삼성전자,4,서버용,1,미포함,Dimm,8,2400,ECC / REG,99500
삼성전자 DDR4 8G PC4-17000 ECC/REG,삼성전자,4,서버용,1,미포함,Dimm,8,NA,REG,86880
삼성전자 DDR3 4G PC3-10600 ECC,삼성전자,3,서버용,1,미포함,Dimm,4,1333,ECC,NA
킹스톤 DDR4 8G PC4-19200,킹스톤,4,PC용,1,미포함,Dimm,8,2400,1.20V,66040
